".id","Pre.Pull.Filler.RT","Pre.Push.Filler.RT","Pre.Pull.Go.RT","Pre.Push.Go.RT","Pre.Pull.NoGo.RT","Pre.Push.NoGo.RT","Post.Pull.Filler.RT","Post.Push.Filler.RT","Post.Pull.Go.RT","Post.Push.Go.RT","Post.Pull.NoGo.RT","Post.Push.NoGo.RT","Pre.Pull.RT","Pre.Push.RT","Post.Pull.RT","Post.Push.RT","Pre.Pull.Filler.ER","Pre.Push.Filler.ER","Pre.Pull.Go.ER","Pre.Push.Go.ER","Pre.Pull.NoGo.ER","Pre.Push.NoGo.ER","Post.Pull.Filler.ER","Post.Push.Filler.ER","Post.Pull.Go.ER","Post.Push.Go.ER","Post.Pull.NoGo.ER","Post.Push.NoGo.ER","Pre.Pull.ER","Pre.Push.ER","Post.Pull.ER","Post.Push.ER","Pre.ER","Post.ER","Pre_Go_bias","Pre_NoGo_bias","Pre_Filler_bias","Post_Go_bias","Post_NoGo_bias","Post_Filler_bias","D_Go","D_NoGo","D_Filler"
"573410707",783.419191919192,742.424242424242,746.560606060606,703.383838383838,727.272727272727,767.181818181818,684.878787878788,676.10101010101,694.454545454545,650.585858585859,662.636363636364,667.60101010101,750.525252525253,725.59595959596,683,666,0.0555555555555556,0.0277777777777778,0.166666666666667,0.0555555555555556,0.138888888888889,0.138888888888889,0.0833333333333333,0.0277777777777778,0.0555555555555556,0.0277777777777778,0,0.0555555555555556,0.12037037037037,0.0740740740740741,0.0462962962962963,0.037037037037037,0.0972222222222222,0.0416666666666667,-43.1767676767677,39.909090909091,-40.9949494949494,-43.868686868687,4.96464646464653,-8.77777777777783,-0.691919191919283,-34.9444444444445,32.2171717171716
"583685885",865.161616161616,914.151515151515,951.363636363636,907.737373737374,881.818181818182,857.212121212121,741.929292929293,824.242424242424,746.878787878788,817,760.242424242424,791.919191919192,890.909090909091,890.909090909091,750,807.757575757576,0.138888888888889,0.194444444444444,0.333333333333333,0.0833333333333333,0.222222222222222,0.138888888888889,0.111111111111111,0.0833333333333333,0.222222222222222,0.138888888888889,0.305555555555556,0.194444444444444,0.231481481481481,0.138888888888889,0.212962962962963,0.138888888888889,0.185185185185185,0.175925925925926,-43.6262626262626,-24.6060606060606,48.989898989899,70.1212121212121,31.6767676767677,82.3131313131313,113.747474747475,56.2828282828283,33.3232323232323
"586636581",727.272727272727,726.090909090909,763.136363636364,710.939393939394,722.878787878788,659.272727272727,676.10101010101,673.141414141414,672.651515151515,612.181818181818,694.10101010101,651.525252525253,727.272727272727,702.515151515152,677.444444444444,650,0.0555555555555556,0.111111111111111,0.0555555555555556,0.0555555555555556,0.111111111111111,0.0833333333333333,0.111111111111111,0.0555555555555556,0.0555555555555556,0.0833333333333333,0,0,0.0740740740740741,0.0833333333333333,0.0555555555555556,0.0462962962962963,0.0787037037037037,0.0509259259259259,-52.1969696969696,-63.6060606060607,-1.18181818181813,-60.4696969696969,-42.5757575757575,-2.95959595959596,-8.27272727272725,21.0303030303032,-1.77777777777783
"594205485",758.757575757576,767.505050505051,795.717171717172,774.5,833,799,783.5,700,800.247474747475,700,726.505050505051,684.439393939394,783.838383838384,784,779.045454545455,700,0.277777777777778,0.166666666666667,0.222222222222222,0.277777777777778,0.194444444444444,0.25,0.166666666666667,0.222222222222222,0.111111111111111,0.0833333333333333,0.222222222222222,0.166666666666667,0.231481481481481,0.231481481481481,0.166666666666667,0.157407407407407,0.231481481481481,0.162037037037037,-21.2171717171717,-34,8.74747474747483,-100.247474747475,-42.0656565656566,-83.5,-79.0303030303031,-8.06565656565658,-92.2474747474748
"594357469",633.585858585859,677.090909090909,621.80303030303,655.40404040404,629.959595959596,664.813131313131,623.409090909091,576.434343434343,618.691919191919,610.767676767677,622.464646464646,609.777777777778,627.59595959596,669.358585858586,620.70202020202,604.535353535354,0.166666666666667,0.25,0.166666666666667,0.194444444444444,0.166666666666667,0.222222222222222,0.333333333333333,0.222222222222222,0.111111111111111,0.222222222222222,0.222222222222222,0.194444444444444,0.166666666666667,0.222222222222222,0.222222222222222,0.212962962962963,0.194444444444444,0.217592592592593,33.6010101010102,34.8535353535353,43.5050505050506,-7.92424242424238,-12.6868686868686,-46.9747474747475,-41.5252525252525,-47.5404040404039,-90.479797979798
"597584655",776.080808080808,716.5,733.5,717.848484848485,804.373737373737,708.767676767677,734.525252525252,726.585858585859,767.338383838384,703.767676767677,767,691.222222222222,768.161616161616,714.383838383838,759.252525252525,709.757575757576,0.361111111111111,0.166666666666667,0.277777777777778,0.166666666666667,0.166666666666667,0.166666666666667,0.111111111111111,0.194444444444444,0.166666666666667,0.0555555555555556,0.0833333333333333,0.111111111111111,0.268518518518519,0.166666666666667,0.12037037037037,0.12037037037037,0.217592592592593,0.12037037037037,-15.6515151515151,-95.6060606060606,-59.5808080808081,-63.5707070707072,-75.7777777777778,-7.93939393939377,-47.919191919192,19.8282828282828,51.6414141414143
"606298920",1111.35858585859,1099.63636363636,1045.44444444444,1117,1088.88888888889,1138.38383838384,1013.11111111111,1034.66666666667,1022.56565656566,1002.66666666667,1001.09595959596,1031.47474747475,1088.88888888889,1110.11111111111,1022.56565656566,1026.40404040404,0.166666666666667,0.138888888888889,0.138888888888889,0.138888888888889,0.0555555555555556,0.138888888888889,0.0833333333333333,0.138888888888889,0.0277777777777778,0.0833333333333333,0.0555555555555556,0.277777777777778,0.12037037037037,0.138888888888889,0.0555555555555556,0.166666666666667,0.12962962962963,0.111111111111111,71.5555555555554,49.4949494949494,-11.7222222222219,-19.8989898989898,30.3787878787878,21.5555555555557,-91.4545454545453,-19.1161616161617,33.2777777777776
"608621408",717,693.919191919192,735.484848484848,734,759.59595959596,695.272727272727,695.272727272727,684,692,680.545454545455,690.121212121212,661.252525252525,734,703.49494949495,695.272727272727,677.090909090909,0.0277777777777778,0.0833333333333333,0.111111111111111,0.138888888888889,0.194444444444444,0.0833333333333333,0.0277777777777778,0.0833333333333333,0.111111111111111,0.0555555555555556,0.111111111111111,0.0277777777777778,0.111111111111111,0.101851851851852,0.0833333333333333,0.0555555555555556,0.106481481481481,0.0694444444444444,-1.4848484848485,-64.3232323232324,-23.0808080808081,-11.4545454545455,-28.8686868686868,-11.2727272727273,-9.969696969697,35.4545454545456,11.8080808080808
"614313300",823.040404040404,796.454545454545,854.121212121212,841.414141414141,858.242424242424,863.636363636364,800.49494949495,751.50505050505,795.959595959596,725.59595959596,733,759.252525252525,841.414141414141,832.828282828283,775.424242424242,743.757575757576,0.0555555555555556,0.111111111111111,0.111111111111111,0.0555555555555556,0.0833333333333333,0.0277777777777778,0.194444444444444,0.0277777777777778,0.111111111111111,0.0833333333333333,0.0833333333333333,0.0277777777777778,0.0833333333333333,0.0648148148148148,0.12962962962963,0.0462962962962963,0.0740740740740741,0.087962962962963,-12.7070707070707,5.39393939393949,-26.5858585858584,-70.3636363636364,26.2525252525253,-48.9898989898991,-57.6565656565657,20.8585858585858,-22.4040404040406
"615261843",948.323232323232,1092,1050,989.737373737374,1025.67676767677,989.89898989899,717.59595959596,754.883838383838,719.171717171717,725.59595959596,724.5,742.424242424242,1022.56565656566,1017,718.191919191919,742.424242424242,0.0555555555555556,0.111111111111111,0.111111111111111,0,0.111111111111111,0.0833333333333333,0.222222222222222,0.0555555555555556,0.194444444444444,0.111111111111111,0.166666666666667,0.138888888888889,0.0925925925925926,0.0648148148148148,0.194444444444444,0.101851851851852,0.0787037037037037,0.148148148148148,-60.2626262626263,-35.7777777777778,143.676767676768,6.42424242424238,17.9242424242425,37.2878787878788,66.6868686868687,53.7020202020203,-106.388888888889
