".id","FillerGo.RT","Go.RT","FillerGo.PE","FillerNoGo.PE","Go.PE","NoGo.PE","FillerGo.PC","FillerNoGo.PC","Go.PC","NoGo.PC","goRT_rm","PE_rm"
"681571817",449.277777777778,465.097222222222,0,0.0277777777777778,0,0.0277777777777778,1,0.972222222222222,1,0.972222222222222,"0","0"
"691417377",400.25,402.138888888889,0,0.0833333333333333,0,0.0833333333333333,1,0.916666666666667,1,0.916666666666667,"0","0"
"703257067",485.8,452.43661971831,0.0277777777777778,0.0555555555555556,0.0138888888888889,0,0.972222222222222,0.944444444444444,0.986111111111111,1,"0","0"
"713985884",599.111111111111,556.847222222222,0,0.0277777777777778,0,0.0138888888888889,1,0.972222222222222,1,0.986111111111111,"0","0"
"729020513",555.194444444444,554.972222222222,0,0,0,0.0138888888888889,1,1,1,0.986111111111111,"0","0"
"737053816",543.235294117647,551.014084507042,0.0555555555555556,0.0277777777777778,0.0138888888888889,0.0138888888888889,0.944444444444444,0.972222222222222,0.986111111111111,0.986111111111111,"0","0"
"751887419",436.694444444444,431.763888888889,0,0.0277777777777778,0,0.0138888888888889,1,0.972222222222222,1,0.986111111111111,"0","0"
"754514323",434.972222222222,434.416666666667,0,0.0555555555555556,0,0.0416666666666667,1,0.944444444444444,1,0.958333333333333,"0","0"
"757458211",554.527777777778,579.408450704225,0,0.0833333333333333,0.0138888888888889,0.0555555555555556,1,0.916666666666667,0.986111111111111,0.944444444444444,"0","0"
"763359918",493.416666666667,479.75,0,0.0833333333333333,0,0.0416666666666667,1,0.916666666666667,1,0.958333333333333,"0","0"
"765168390",545.361111111111,542.027777777778,0,0.0277777777777778,0,0.0972222222222222,1,0.972222222222222,1,0.902777777777778,"0","0"
"770429983",609.228571428571,614.805555555556,0.0277777777777778,0,0,0,0.972222222222222,1,1,1,"0","0"
"775381059",447.416666666667,447.430555555556,0,0,0,0,1,1,1,1,"0","0"
"782470274",494.888888888889,493.555555555556,0,0.0277777777777778,0,0.0138888888888889,1,0.972222222222222,1,0.986111111111111,"0","0"
"793170753",384.861111111111,391.180555555556,0,0.0277777777777778,0,0,1,0.972222222222222,1,1,"0","0"
"812480286",566.833333333333,551.271428571429,0,0.0277777777777778,0.0277777777777778,0,1,0.972222222222222,0.972222222222222,1,"0","0"
"816822146",519.944444444444,523.777777777778,0,0.0277777777777778,0,0.0277777777777778,1,0.972222222222222,1,0.972222222222222,"0","0"
"820360854",422.885714285714,434.169014084507,0.0277777777777778,0.0555555555555556,0.0138888888888889,0.0555555555555556,0.972222222222222,0.944444444444444,0.986111111111111,0.944444444444444,"0","0"
"841237010",548,561.5,0,0,0,0.0416666666666667,1,1,1,0.958333333333333,"0","0"
"842039882",476.833333333333,511.986111111111,0,0.0555555555555556,0,0.0555555555555556,1,0.944444444444444,1,0.944444444444444,"0","0"
"84880994",440.611111111111,434.847222222222,0,0.0555555555555556,0,0.0277777777777778,1,0.944444444444444,1,0.972222222222222,"0","0"
"85193349",552.972222222222,502.083333333333,0,0.0555555555555556,0,0.0277777777777778,1,0.944444444444444,1,0.972222222222222,"0","0"
"859133271",512.611111111111,508.763888888889,0,0,0,0.0277777777777778,1,1,1,0.972222222222222,"0","0"
"862649335",398.833333333333,406.847222222222,0,0,0,0.0138888888888889,1,1,1,0.986111111111111,"0","0"
"882433804",547.666666666667,528.847222222222,0,0.0277777777777778,0,0.0277777777777778,1,0.972222222222222,1,0.972222222222222,"0","0"
"889721656",442.2,427.277777777778,0.0277777777777778,0.0555555555555556,0,0.0694444444444444,0.972222222222222,0.944444444444444,1,0.930555555555556,"0","0"
"890385805",440.055555555556,440.680555555556,0,0.0555555555555556,0,0.0138888888888889,1,0.944444444444444,1,0.986111111111111,"0","0"
"891945452",466.083333333333,466.541666666667,0,0,0,0.0138888888888889,1,1,1,0.986111111111111,"0","0"
"895015911",642.794117647059,632.575757575758,0.0555555555555556,0,0.0833333333333333,0.0277777777777778,0.944444444444444,1,0.916666666666667,0.972222222222222,"0","0"
"898421346",432.972222222222,441.085714285714,0,0,0.0277777777777778,0,1,1,0.972222222222222,1,"0","0"
"900553996",393.5,407.986111111111,0,0.0277777777777778,0,0.0277777777777778,1,0.972222222222222,1,0.972222222222222,"0","0"
"9057045",517.2,487.901408450704,0.0277777777777778,0.0277777777777778,0.0138888888888889,0.0138888888888889,0.972222222222222,0.972222222222222,0.986111111111111,0.986111111111111,"0","0"
"906010485",478.771428571429,483.521126760563,0.0277777777777778,0.0277777777777778,0.0138888888888889,0.0416666666666667,0.972222222222222,0.972222222222222,0.986111111111111,0.958333333333333,"0","0"
"906400142",457.222222222222,449.805555555556,0,0.0277777777777778,0,0,1,0.972222222222222,1,1,"0","0"
"917223872",435.083333333333,455.013888888889,0,0.0277777777777778,0,0.0277777777777778,1,0.972222222222222,1,0.972222222222222,"0","0"
"924086109",601.861111111111,630.444444444444,0,0.0277777777777778,0,0.0138888888888889,1,0.972222222222222,1,0.986111111111111,"0","0"
"92760949",620.472222222222,613.464788732394,0,0.0833333333333333,0.0138888888888889,0.0694444444444444,1,0.916666666666667,0.986111111111111,0.930555555555556,"0","0"
"931261899",569.5,551.014084507042,0,0.0555555555555556,0.0138888888888889,0.0277777777777778,1,0.944444444444444,0.986111111111111,0.972222222222222,"0","0"
"93813793",528.828571428571,516.366197183099,0.0277777777777778,0,0.0138888888888889,0.0138888888888889,0.972222222222222,1,0.986111111111111,0.986111111111111,"0","0"
"940535692",410.25,415.732394366197,0,0,0.0138888888888889,0,1,1,0.986111111111111,1,"0","0"
"941832585",569.257142857143,568.859154929577,0.0277777777777778,0.0277777777777778,0.0138888888888889,0,0.972222222222222,0.972222222222222,0.986111111111111,1,"0","0"
"944326576",508.972222222222,487.69014084507,0,0.0277777777777778,0.0138888888888889,0,1,0.972222222222222,0.986111111111111,1,"0","0"
"955658953",581.583333333333,540.169014084507,0,0.0277777777777778,0.0138888888888889,0.0138888888888889,1,0.972222222222222,0.986111111111111,0.986111111111111,"0","0"
"962931406",507.111111111111,468.875,0,0.0555555555555556,0,0,1,0.944444444444444,1,1,"0","0"
"962947493",581.611111111111,548.138888888889,0,0.0277777777777778,0,0.0277777777777778,1,0.972222222222222,1,0.972222222222222,"0","0"
"963825255",421.771428571429,413.652777777778,0.0277777777777778,0,0,0.0138888888888889,0.972222222222222,1,1,0.986111111111111,"0","0"
