subj.number,script.subjectid,values.selected_1,values.selected_2,values.selected_3,values.selected_1_id,values.selected_2_id,values.selected_3_id
116,93813793,go_sweet,go_savoury,filler_savoury,CHO3.jpg,CRI3.jpg,CHI3.jpg
117,906010485,nogo_savoury,filler_savoury,filler_savoury,PIZ1.jpg,CHI2.jpg,CHI3.jpg
118,634634427,nogo_sweet,go_savoury,filler_savoury,CHO2.jpg,PIZ1.jpg,CRI1.jpg
119,387712268,filler_sweet,nogo_savoury,go_savoury,CHO1.jpg,PIZ1.jpg,CHI1.jpg
120,608621408,filler_sweet,nogo_sweet,nogo_sweet,CAK2.jpg,CHO3.jpg,CHO1.jpg
121,969593053,filler_savoury,nogo_savoury,filler_savoury,PIZ1.jpg,CRI1.jpg,PIZ2.jpg
122,639144618,filler_sweet,filler_savoury,nogo_sweet,BIS3.jpg,PIZ3.jpg,CHO1.jpg
123,84880994,nogo_savoury,nogo_savoury,nogo_sweet,PIZ1.jpg,PIZ3.jpg,CAK3.jpg
124,472137756,filler_savoury,nogo_savoury,go_sweet,CHI1.jpg,PIZ2.jpg,CHO2.jpg
125,530291209,go_savoury,go_savoury,nogo_savoury,PIZ1.jpg,PIZ3.jpg,CHI2.jpg
126,498111995,go_sweet,filler_sweet,go_savoury,CHO2.jpg,CAK2.jpg,CHI1.jpg
127,267950350,nogo_sweet,nogo_savoury,filler_savoury,CHO1.jpg,CHI3.jpg,PIZ1.jpg
128,160043283,filler_savoury,filler_savoury,go_savoury,PIZ3.jpg,PIZ1.jpg,CHI2.jpg
129,812480286,go_sweet,filler_savoury,go_savoury,CHO1.jpg,PIZ3.jpg,CHI1.jpg
130,889721656,filler_savoury,filler_sweet,filler_savoury,PIZ2.jpg,BIS2.jpg,PIZ1.jpg
131,842039882,nogo_savoury,nogo_savoury,go_sweet,PIZ1.jpg,PIZ2.jpg,CAK2.jpg
132,624351029,filler_sweet,filler_savoury,go_savoury,CHO3.jpg,CHI2.jpg,PIZ1.jpg
133,427549586,go_sweet,go_sweet,filler_sweet,CAK1.jpg,CAK2.jpg,CHO1.jpg
134,29646738,go_sweet,nogo_sweet,filler_sweet,CAK1.jpg,CHO1.jpg,BIS2.jpg
135,782470274,nogo_savoury,nogo_sweet,filler_sweet,PIZ3.jpg,CAK1.jpg,CHO3.jpg
136,597584655,nogo_sweet,go_savoury,go_savoury,CHO1.jpg,CHI2.jpg,CHI1.jpg
137,862649335,filler_savoury,go_savoury,go_savoury,PIZ2.jpg,CHI1.jpg,CHI3.jpg
138,681571817,nogo_sweet,go_sweet,nogo_sweet,BIS2.jpg,CHO2.jpg,BIS1.jpg
139,763359918,filler_savoury,go_savoury,filler_sweet,PIZ3.jpg,CHI2.jpg,CHO3.jpg
140,666808921,go_sweet,go_sweet,nogo_savoury,CHO1.jpg,CHO3.jpg,PIZ3.jpg
141,924086109,filler_savoury,go_sweet,go_savoury,PIZ3.jpg,CAK1.jpg,CHI2.jpg
142,209242195,nogo_savoury,filler_sweet,go_savoury,CHI3.jpg,CHO3.jpg,CRI1.jpg
143,895015911,filler_savoury,filler_savoury,nogo_sweet,PIZ1.jpg,PIZ3.jpg,CHO3.jpg
144,132604784,go_savoury,nogo_sweet,nogo_sweet,PIZ1.jpg,CAK1.jpg,CAK2.jpg
145,489074407,nogo_savoury,go_sweet,nogo_sweet,PIZ1.jpg,CAK2.jpg,BIS2.jpg
146,477575605,nogo_savoury,filler_savoury,nogo_sweet,PIZ1.jpg,CRI1.jpg,CHO2.jpg
147,149576779,go_savoury,nogo_savoury,nogo_sweet,CHI1.jpg,PIZ3.jpg,CAK2.jpg
148,260781576,go_sweet,filler_sweet,filler_sweet,CHO2.jpg,CAK2.jpg,CAK1.jpg
149,859133271,nogo_sweet,nogo_savoury,go_sweet,CAK2.jpg,CHI2.jpg,CHO3.jpg
150,623261152,filler_savoury,filler_savoury,,PIZ1.jpg,PIZ2.jpg,
151,691417377,nogo_savoury,nogo_savoury,filler_savoury,PIZ2.jpg,PIZ3.jpg,CHI1.jpg
152,508199875,filler_sweet,nogo_savoury,nogo_sweet,CHO3.jpg,CHI3.jpg,CAK3.jpg
153,488296594,filler_savoury,go_sweet,filler_sweet,PIZ3.jpg,CHO2.jpg,BIS2.jpg
154,371106669,go_sweet,go_sweet,go_savoury,CHO1.jpg,CHO2.jpg,PIZ2.jpg
155,635417047,filler_savoury,nogo_sweet,nogo_savoury,PIZ1.jpg,CAK2.jpg,CHI3.jpg
156,264515770,filler_sweet,nogo_savoury,go_sweet,CAK1.jpg,CRI2.jpg,BIS1.jpg
157,703257067,nogo_savoury,nogo_savoury,go_savoury,PIZ2.jpg,PIZ3.jpg,CRI3.jpg
158,594357469,go_savoury,nogo_sweet,nogo_savoury,CRI2.jpg,CAK1.jpg,PIZ3.jpg
159,615261843,filler_savoury,filler_savoury,filler_sweet,PIZ2.jpg,PIZ3.jpg,CHO1.jpg
160,273401356,go_sweet,filler_savoury,go_savoury,CAK1.jpg,PIZ1.jpg,CHI2.jpg
161,820360854,filler_savoury,nogo_savoury,go_savoury,CRI3.jpg,CHI1.jpg,PIZ1.jpg
162,519606054,nogo_savoury,go_savoury,nogo_savoury,CHI1.jpg,PIZ1.jpg,CHI3.jpg
163,48046731,filler_savoury,nogo_savoury,filler_sweet,PIZ2.jpg,CHI1.jpg,CHO1.jpg
